Frame,Pixel Count
KNN,8673
CNT,7520
MOG,4504
MOG2,8875
GMG,1613
KNN,8729
CNT,7614
MOG,4516
MOG2,8834
GMG,2370
KNN,8705
CNT,7557
MOG,4488
MOG2,8883
GMG,2326
KNN,8741
CNT,7542
MOG,4417
MOG2,8809
GMG,1976
KNN,8665
CNT,7500
